timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,n,dt,eps,bs,integrator,num_noise,num_boots,mlp_hidden,res_hidden,res_depth,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7178891897201538,0.0029845961835235357,0.14749109745025635,0.0018292065942659974,1.0010247230529785,0.0012346365256235003,0.0010187103180214763,0.0012688044225797057,0.7611764073371887,0.004113862290978432
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7243738174438477,0.0034430252853780985,0.21540996432304382,0.0022624111734330654,0.9976330995559692,0.0015668546548113227,-0.0023710730019956827,0.0015900200232863426,0.6748183965682983,0.00501442002132535
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.05,0.0008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.6644459962844849,0.020552650094032288,2.3417229652404785,0.022009164094924927,0.9867843389511108,0.01992337591946125,-0.013353120535612106,0.019542191177606583,0.013185045681893826,0.003923006821423769
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7214782238006592,0.0028493159916251898,0.14351995289325714,0.0017740274779498577,0.997911274433136,0.0011353939771652222,-0.0020632967352867126,0.0011203729081898928,0.7958245277404785,0.0038232284132391214
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.00025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.4996819496154785,0.06816450506448746,5.366242408752441,0.11892644315958023,0.9473873972892761,0.11558569967746735,-0.060773178935050964,0.11829817295074463,0.002243707189336419,0.002706943778321147
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.08,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7184487581253052,0.002671620575711131,0.09243118762969971,0.0013997148489579558,0.9995140433311462,0.0008906269795261323,-0.0004924180684611201,0.0008992330986075103,0.8619626760482788,0.0008141531143337488
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.25,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7209277153015137,0.002641593338921666,0.08240891247987747,0.001315574161708355,0.9986163973808289,0.0008487713639624417,-0.001376576372422278,0.0008634346886537969,0.8701921701431274,0.0006421814323402941
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7162572145462036,0.0026823277585208416,0.1066390722990036,0.0015273046446964145,1.0005085468292236,0.0009402044233866036,0.0005188139039091766,0.000966086343396455,0.8445869088172913,0.0017237869324162602
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.025,2.5,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-2.0933895111083984,0.16555137932300568,4.501680850982666,0.3050445318222046,1.1029422283172607,0.355419397354126,0.057827096432447433,0.3039160668849945,0.0008227790822274983,0.0014219017466530204
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.05,0.0008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7058944702148438,0.02682306244969368,1.720156192779541,0.01857862062752247,0.9902182221412659,0.016752177849411964,-0.00941711850464344,0.017194969579577446,0.018222957849502563,0.006408817134797573
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.025,0.8,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7430567741394043,0.06096697598695755,1.5163264274597168,0.04568684473633766,1.0291697978973389,0.047569390386343,0.027732182294130325,0.04492758959531784,0.004355947952717543,0.004134213086217642
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.025,0.0008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7265886068344116,0.007756821345537901,0.6292043328285217,0.0049156504683196545,0.999861478805542,0.0037732829805463552,-5.097446410218254e-05,0.0037652200553566217,0.2583220601081848,0.01928223855793476
