timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,L,m2,lambda,dt,eps,bs,integrator,num_noise,n_kernel,n_kernel_bond,n_basis,n_basis_bond,num_boots,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err,susc_avg,susc_err
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,4,21,20,20,20,2000,-8.453752517700195,0.12476741522550583,-8.242019653320312,0.06374095380306244,230840.296875,56804.46484375,12.333967208862305,0.2324768304824829,0.010786409489810467,0.003962493967264891,0.026662491261959076,0.0007541266968473792
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,1,21,20,20,20,2000,-7.133229732513428,0.1194484680891037,-13.023672103881836,0.055002715438604355,10095281.0,2187449.75,16.103775024414062,0.21286055445671082,0.019359035417437553,0.012721442617475986,0.025508813560009003,0.0007321836892515421
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,2,21,20,20,20,2000,-8.31147289276123,0.12337508052587509,-5.856987476348877,0.08130785822868347,908760.375,829648.75,13.196624755859375,1.2203013896942139,0.002570962533354759,0.0030208586249500513,0.02592490427196026,0.0007213081698864698
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,4,21,20,20,20,2000,-7.311569690704346,0.12168033421039581,-14.215564727783203,0.041513193398714066,10622639.0,2134704.75,16.15599250793457,0.1987251490354538,0.022460008040070534,0.01649540290236473,0.025593789294362068,0.0007824578206054866
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,8,21,20,20,20,2000,-7.152683734893799,0.1215367391705513,-15.843828201293945,0.012644387781620026,8877040.0,117766.5390625,15.999283790588379,0.013437925837934017,0.7385020852088928,0.008651564829051495,0.02554037980735302,0.0007142145186662674
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,2,21,20,20,20,2000,-7.031260013580322,0.11724743992090225,-14.412004470825195,0.040045179426670074,9305379.0,1037221.3125,16.040756225585938,0.10949762910604477,0.0544198639690876,0.02814878523349762,0.02634645253419876,0.0007493392913602293
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,2,21,20,20,20,2000,-7.160773277282715,0.12120354175567627,-12.730071067810059,0.0585225373506546,20282344.0,14396110.0,16.572860717773438,0.7765060663223267,0.008730201050639153,0.011386497877538204,0.02629544585943222,0.0007373637054115534
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,fp,2,21,20,20,20,2000,-7.264997482299805,0.20733533799648285,-14.99187183380127,0.1744605451822281,8908854.0,406421.15625,16.002347946166992,0.04533613100647926,0.1991223245859146,0.02335340529680252,0.025909680873155594,0.0007122340612113476
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,4,21,20,20,20,2000,-7.306117057800293,0.11446923762559891,-15.748973846435547,0.016472142189741135,8788769.0,150834.984375,15.988482475280762,0.016954762861132622,0.6339912414550781,0.013752995058894157,0.025012150406837463,0.0006997878663241863
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,16,21,20,20,20,2000,-6.909416675567627,0.11565974354743958,-15.868142127990723,0.011053474619984627,8784825.0,106349.09375,15.988348007202148,0.011830122210085392,0.7777431011199951,0.010402400977909565,0.026125077158212662,0.000739085313398391
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,2,21,20,20,20,2000,-7.259592056274414,0.13408517837524414,-15.54885482788086,0.05885879322886467,8862952.0,209305.015625,15.997194290161133,0.023108866065740585,0.48553627729415894,0.016185777261853218,0.02591226063668728,0.0007596747018396854
